keyword,frequency,cluster,intent,page_type,url,existing,action,priority,city
технониколь hauberk камень,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
софиты для кровли размеры,142,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
сайдинг металлический м2,142,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
черепица технониколь оптима коричневый,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь серо бежевый,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
кровля монтеррей,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
технониколь хайберг,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
программа фасада дома,142,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
интернет магазин сайдингов,142,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
цена метра кровли работа,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
соединитель гранд лайн,142,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
окпд кровли,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
вентиляционная труба на кровле,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
колено технониколь,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь оптима камень,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь обшить дом,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
ам для кровли,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
технониколь эко 50,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
цокольный сайдинг своими руками,142,Сайдинг цокольный,informational,category,/catalog/cokolnyy,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
недостатки кровли,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
самоклеющаяся лента для ремонта кровли,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
полимерная гидроизоляция технониколь,142,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
марк кровля,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
тсн кровля,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
кровля 32,142,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
калькулятор расчета сайдинга,142,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг между собой,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
плитка технониколь инструкция,141,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь эко xps,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
ктв технониколь,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
обшивка сайдингом ключ,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
обшивка сайдингом под ключ,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
лента технониколь для крыш,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
вентиляционная сетка для кровли,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
обшить металлическим сайдингом,141,Сайдинг металлический,commercial,category,/catalog/metallicheskiy,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг белого цвета,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
устройство кровли крыш,141,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
установка цокольного сайдинга,141,Сайдинг цокольный,commercial,category,/catalog/cokolnyy,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь пленка 200,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
фасады больших домов,141,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
гранд лайн видео,141,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
пирог кровли черепица,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
снятие сайдинга,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг под бревно для наружной отделки цены,141,Сайдинг под дерево/брус/бревно/камень/кирпич,commercial,category,/catalog/pod-derevo,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
карнизная гибкая черепица технониколь,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
кровля пошагово,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
обшивка сайдингом своими руками пошаговая,141,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
проект плоской кровли,141,Плоская/рулонная/наплавляемая кровля,commercial,category-gap,,none,Создать категорию в каталоге (нет ни одного товара под кластер),P3,
сколько стоит метр сайдинга для обшивки,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
узел парапета кровли,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
кровля в дождь,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
какая длина сайдинга,141,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
кровля мо,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
софиты технониколь купить,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг наружный под бревно цена,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг на сваи,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
отделка сайдингом под бревно цена,141,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
утеплитель технониколь техноплекс,141,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
фанера на кровлю,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
крышки на кровлю,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
кровля песчано,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
металл для фальцевой кровли,141,Фальцевая кровля / кликфальц,commercial,category,/catalog/falcevaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
аэроэлемент grand line,141,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
ремонт кровли дома цена,141,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
4 фасада дома,140,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
кровля крыши обрешетка,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
кровля l,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
выпуск кровли,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
фасадная плитка технониколь камень,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг технониколь для наружной,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
grand line корабельная доска,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь металл,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь финская аккорд,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
аэроэлемент конька grand line,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
полимочевина гидроизоляция кровли,140,Гидроизоляция / пароизоляция / мембраны,commercial,category,/catalog/gidroizolyatsiya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
стоимость работы мягкой кровли,140,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
гранд лайн металлочерепица цены официальный,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
руководство кровли,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
торцевые планки гранд лайн,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
инструкция укладки технониколь,140,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
торцевая планка гранд лайн,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
софиты для подшивки кровли размеры,140,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
вата технониколь стандарт,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
коньковая черепица технониколь,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг нового поколения,140,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
фасадная панель grand line design,140,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
клей технониколь professional для пенополистирола,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
леруа мерлен отделка сайдингом,140,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
лист для кровли размеры и цена,140,Кровля — общий хаб (сравнение/сервис),commercial+informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
утепление кровли какой,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
отделка сайдингом инструкция,140,Сайдинг — общее,informational,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
доска для фасада дома,140,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
технониколь карбон цена,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
декоративный сайдинг,140,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
дагестанский камень для фасада дома,140,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг в мытищах,140,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
клей пена технониколь professional для пенополистирола,140,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг для наружной отделки леруа мерлен,140,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
фасад дома сетка,140,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
как правильно стелить кровлю,140,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
низкая кровля,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
пирог холодной кровли,140,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
технониколь решения кровли,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь пу 600 мл серый,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг панели под кирпич,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг оцинкованный,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
технониколь полистирол,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
кровля за 1 м2,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
разное сайдинг,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
расценки фер кровли,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
сайдинг под рейку,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
плантер технониколь цена,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
утеплитель технониколь характеристики,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
колотый камень гранд лайн,139,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
подставка на кровлю,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
отделка фасада дома цена за м2,139,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
какое устройство кровли,139,Кровля — общий хаб (сравнение/сервис),informational,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
кровля из нержавеющей стали,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
обзор кровли,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
формлайт технониколь,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
мембрана технониколь 2,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
виды кровли для частного,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
какой толщины технониколь,139,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинг альта брус,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
лучший металлический сайдинг,139,Сайдинг металлический,commercial,category,/catalog/metallicheskiy,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
какой стороной класть технониколь,139,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
светлый фасад дома,139,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сколько стоит мягкая кровля квадратный,139,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
гибкая черепица технониколь цена,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
что значит кровля,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
уплотнитель технониколь,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
силиконовый герметик для кровли,139,Герметики и мастики,commercial,category,/catalog/germetiki,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
плиты для фасада дома,139,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг дома цена работа,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
мягкая кровля как правильно укладывать на крышу,139,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь 42,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
монтаж кровли технониколь инструкция,139,Технониколь — бренд-хаб,informational,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
мягкая кровля лемана,139,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
производство работ кровли кровля,139,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
фасад дома под штукатурку,139,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
утеплитель наружный под сайдинг,139,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
утеплитель теплоknauf кровля стена пол,139,Утеплитель — общее,commercial,category,/catalog/uteplitel,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь aquamast для фундамента,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь двухкомпонентный,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь баварская плитка,139,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
пена технониколь master,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
система водостоков кровли,138,Водостоки,commercial,category,/catalog/group/vodostoki,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
шатровыми кровлями,138,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
технониколь деревянные дома,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
праймер технониколь сколько,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
битумно полимерная лента технониколь,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
сайдинга россия,138,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
гранд лайн под кирпич,138,Grand Line / Гранд Лайн — бренд-хаб,commercial,brand,/catalog/brand/grand-line,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
кровля сертификат,138,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
сайдинг коломна купить,138,Сайдинг — общее,geo+commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,да
сайдинг каштан,138,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
сайдинг виниловый дерево,138,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
финская мягкая кровля,138,Мягкая кровля (битумная черепица),commercial,category,/catalog/myagkaya-krovlya,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
цокольные планки технониколь,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
магазин купить сайдинг,138,Сайдинг — общее,commercial,hub-gap,/fasad/sajding,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
герметик бутилкаучуковый технониколь,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
виды кровли для частного дома,138,Кровля — общий хаб (сравнение/сервис),commercial,category,/catalog/group/krovlya,partial,"Страница есть, но покрытие неполное — расширить ассортимент/контент",P3,
герметик полиуретановый технониколь 600,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
цокольная планка технониколь,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
технониколь эпп купить,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
плотность технониколь 50 мм,138,Технониколь — бренд-хаб,commercial,brand,/catalog/brand/tehnonikol,full,Страница существует — усилить метатеги/контент под этот запрос,P3,
фасад дома пеноблок,138,Фасад дома — общий хаб (intent неопределён),commercial,hub-gap,/fasad/fasad-doma,none,"Создать SEO-хаб (страница выбора, не товарный листинг)",P3,
